[#62] Casablanca (1943): Drama, VHS, English, <http://us.imdb.com/Title?0034583>
[#731] Casino (1995): Drama, DVD, English, <http://www.imdb.com/title/tt0112641/>
[#194] Casino Royale (1967): Comedy, DVD, English, <http://us.imdb.com/Title?0061452>
[#863] Casino Royale Disk 2 (2006): Action, DVD, English, <http://imdb.com/title/tt0381061/>
[#676] Cast Away (2000): Drama, DVD, English, <http://www.imdb.com/title/tt0162222/>
[#212] Catch Me if You Can (2002): Comedy, DVD, English, <http://us.imdb.com/Title?0264464>
[#11] Cell, The (2000): Drama, DVD, English, <http://us.imdb.com/Title?0209958>
[#607] Century Hotel (2001): Drama, DVD, English, <http://www.imdb.com/title/tt0270270/>
[#588] Chappelle's Show - Season 1 - Disc 1 (2003): Television, DVD, English, <http://www.imdb.com/title/tt0353049/>
[#589] Chappelle's Show - Season 1 - Disc 2 (2003): Television, DVD, English, <http://www.imdb.com/title/tt0353049/>
[#727] Chappelle's Show - Season 2 - Disc 1 (2003): Television, DVD, English, <http://www.imdb.com/title/tt0353049/>
[#728] Chappelle's Show - Season 2 - Disc 2 (2003): Television, DVD, English, <http://www.imdb.com/title/tt0353049/>
[#729] Chappelle's Show - Season 2 - Disc 3 (2003): Television, DVD, English, <http://www.imdb.com/title/tt0353049/>
[#639] Charlie and the Chocolate Factory (2005): Comedy, DVD, English, <http://www.imdb.com/title/tt0367594/>
[#91] Charlie Chaplin Centennial Collection: Gold Rush/ Pay Day (1936): Comedy, VHS, English, <http://us.imdb.com/Title?0015864>
[#90] Charlie Chaplin Centennial Collection: Modern Times (1936): Comedy, VHS, English, <http://us.imdb.com/Title?0027977>
[#1376] Charlie Wilson's War (2007): Unknown, DVD, English, <http://www.imdb.com/title/tt0472062/>
[#407] Charlie's Angels: Full Throttle (2003): Action, DVD, English, <http://www.imdb.com/title/tt0305357/>
[#501] Chasing Amy (1997): Comedy, DVD, English, <http://www.imdb.com/title/tt0118842/>
[#265] Chicago (2002): Music, DVD, English, <http://www.imdb.com/title/tt0299658/>
[#489] Chicken Run (2000): Family, DVD, English, <http://www.imdb.com/title/tt0120630/>
[#828] Children of Men (2006): Drama, DVD, English, <http://www.imdb.com/title/tt0206634/>
[#263] Chinatown (1974): Thriller, DVD, English, <http://www.imdb.com/title/tt0071315/>
[#69] Chocolat (2000): Drama, DVD, English, <http://us.imdb.com/Title?0241303>
[#817] Chronicles of Narnia: The Lion, the Witch and the Wardrobe (2005): Action, DVD, English, <http://www.imdb.com/title/tt0363771/>
